DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200321450,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,0300,03,Southwest,0333,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,54,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,3000    WELLINGTON                   RD,,34.0261,-118.3384
200900618,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,0800,09,Van Nuys,0946,1,210,ROBBERY,0913 0408 0337 0344 1813 2000 2004,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,626,,,14000    OXNARD                       ST,,34.1794,-118.4377
201006630,02/29/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2340,10,West Valley,1039,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1420,0,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,15900    VANOWEN                      ST,,34.1939,-118.4793
201211594,04/26/2020 12:00:00 AM,04/24/2020 12:00:00 AM,1820,12,77th Street,1242,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6000    ARLINGTON                    AV,,33.9855,-118.3186
201100605,04/06/2020 12:00:00 AM,04/05/2020 12:00:00 AM,1617,11,Northeast,1124,1,310,BURGLARY,0344 1402,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,3100 N  SAN FERNANDO                 RD,,34.1149,-118.2458
200915687,10/08/2020 12:00:00 AM,09/28/2020 12:00:00 AM,1900,09,Van Nuys,0931,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,34,F,W,101,STREET,,,IC,Invest Cont,331,,,,FIRMAMENT                    AV,VICTORY                      BL,34.1866,-118.4719
200511560,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,0100,05,Harbor,0514,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1309 0377 0354 1300 0344,33,M,H,104,DRIVEWAY,,,IC,Invest Cont,420,,,,1500    VAN TRESS                    AV,,33.7932,-118.2792
200111713,05/14/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1400,01,Central,0165,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402 0344 0397 1602 1822,56,M,H,214,"BUS DEPOT/TERMINAL, OTHER THAN MTA",,,IC,Invest Cont,341,998,,,200 E  6TH                          ST,,34.0446,-118.249
201106617,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,0001,11,Northeast,1186,1,310,BURGLARY,0344 1402 1419 1407,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,310,998,,,1800    ACADEMY                      DR,,34.0807,-118.2425
200510041,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1530,05,Harbor,0528,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1200    BLINN                        AV,,33.7876,-118.2452
